Age;Year;Life_Expectancy
1;2005;78,7
1;2006;79,2
1;2007;79,4
1;2008;79,5
1;2009;79,6
1;2010;79,8
1;2011;80,1
1;2012;80,2
1;2013;80,2
1;2014;80,4
2;2005;77,8
2;2006;78,2
2;2007;78,4
2;2008;78,5
2;2009;78,6
2;2010;78,8
2;2011;79,1
2;2012;79,2
2;2013;79,2
2;2014;79,4
3;2005;76,8
3;2006;77,2
3;2007;77,4
3;2008;77,5
3;2009;77,6
3;2010;77,8
3;2011;78,2
3;2012;78,3
3;2013;78,2
3;2014;78,4
4;2005;75,8
4;2006;76,2
4;2007;76,5
4;2008;76,5
4;2009;76,6
4;2010;76,8
4;2011;77,2
4;2012;77,3
4;2013;77,2
4;2014;77,5
5;2005;74,8
5;2006;75,2
5;2007;75,5
5;2008;75,5
5;2009;75,7
5;2010;75,8
5;2011;76,2
5;2012;76,3
5;2013;76,2
5;2014;76,5
6;2005;73,8
6;2006;74,2
6;2007;74,5
6;2008;74,5
6;2009;74,7
6;2010;74,8
6;2011;75,2
6;2012;75,3
6;2013;75,2
6;2014;75,5
7;2005;72,8
7;2006;73,3
7;2007;73,5
7;2008;73,5
7;2009;73,7
7;2010;73,9
7;2011;74,2
7;2012;74,3
7;2013;74,2
7;2014;74,5
8;2005;71,8
8;2006;72,3
8;2007;72,5
8;2008;72,6
8;2009;72,7
8;2010;72,9
8;2011;73,2
8;2012;73,3
8;2013;73,2
8;2014;73,5
9;2005;70,8
9;2006;71,3
9;2007;71,5
9;2008;71,6
9;2009;71,7
9;2010;71,9
9;2011;72,2
9;2012;72,3
9;2013;72,2
9;2014;72,5
10;2005;69,8
10;2006;70,3
10;2007;70,5
10;2008;70,6
10;2009;70,7
10;2010;70,9
10;2011;71,2
10;2012;71,3
10;2013;71,3
10;2014;71,5
11;2005;68,8
11;2006;69,3
11;2007;69,5
11;2008;69,6
11;2009;69,7
11;2010;69,9
11;2011;70,2
11;2012;70,3
11;2013;70,3
11;2014;70,5
12;2005;67,9
12;2006;68,3
12;2007;68,5
12;2008;68,6
12;2009;68,7
12;2010;68,9
12;2011;69,2
12;2012;69,3
12;2013;69,3
12;2014;69,5
13;2005;66,9
13;2006;67,3
13;2007;67,5
13;2008;67,6
13;2009;67,7
13;2010;67,9
13;2011;68,2
13;2012;68,3
13;2013;68,3
13;2014;68,5
14;2005;65,9
14;2006;66,3
14;2007;66,5
14;2008;66,6
14;2009;66,7
